Index,Date,Time,[uSec],TagID/BPM,Freq [MHz],Codeset,Antenna,Gain,RSSI
1,8/30/2024,15:44:42,563360,999,166.38,Lotek6M,Antenna 1,75,76
2,8/30/2024,20:20:13,788341,24,166.38,Lotek6M,Antenna 1,75,87
3,8/30/2024,20:20:24,891189,24,166.38,Lotek6M,Antenna 1,75,43
4,8/30/2024,20:21:27,803520,24,166.38,Lotek6M,Antenna 1,75,72
5,8/30/2024,20:21:42,606811,24,166.38,Lotek6M,Antenna 1,75,58
6,8/30/2024,20:22:45,518512,24,166.38,Lotek6M,Antenna 1,75,95
7,8/30/2024,20:22:56,620848,24,166.38,Lotek6M,Antenna 1,75,92
8,8/30/2024,20:23:07,723275,24,166.38,Lotek6M,Antenna 1,75,87
9,8/30/2024,20:23:11,423643,24,166.38,Lotek6M,Antenna 1,75,91
10,8/30/2024,20:23:22,526923,24,166.38,Lotek6M,Antenna 1,75,48
11,8/30/2024,20:23:33,629051,24,166.38,Lotek6M,Antenna 1,75,68
12,8/30/2024,20:27:08,272016,24,166.38,Lotek6M,Antenna 1,75,75
13,8/30/2024,20:27:23,74880,24,166.38,Lotek6M,Antenna 1,75,83
14,8/30/2024,20:27:34,176533,24,166.38,Lotek6M,Antenna 1,75,93
15,8/30/2024,20:27:45,279115,24,166.38,Lotek6M,Antenna 1,75,93
16,8/30/2024,20:27:48,979515,24,166.38,Lotek6M,Antenna 1,75,94
17,8/30/2024,20:28:00,81835,24,166.38,Lotek6M,Antenna 1,75,90
18,8/30/2024,20:28:11,184096,24,166.38,Lotek6M,Antenna 1,75,90
19,8/30/2024,20:28:25,987216,24,166.38,Lotek6M,Antenna 1,75,87
20,8/30/2024,20:28:37,89520,24,166.38,Lotek6M,Antenna 1,75,93
21,8/30/2024,20:28:37,690357,89,166.38,Lotek6M,Antenna 1,75,78
22,8/30/2024,20:28:48,191605,24,166.38,Lotek6M,Antenna 1,75,89
23,8/30/2024,20:28:51,892309,24,166.38,Lotek6M,Antenna 1,75,89
24,8/30/2024,20:29:02,492384,89,166.38,Lotek6M,Antenna 1,75,66
25,8/30/2024,20:29:02,994459,24,166.38,Lotek6M,Antenna 1,75,89
26,8/30/2024,20:29:14,96944,24,166.38,Lotek6M,Antenna 1,75,88
27,8/30/2024,20:29:14,892651,89,166.38,Lotek6M,Antenna 1,75,87
28,8/30/2024,20:29:27,293808,89,166.38,Lotek6M,Antenna 1,75,83
29,8/30/2024,20:29:28,900208,24,166.38,Lotek6M,Antenna 1,75,78
30,8/30/2024,20:29:39,694661,89,166.38,Lotek6M,Antenna 1,75,81
31,8/30/2024,20:29:52,95413,89,166.38,Lotek6M,Antenna 1,75,86
32,8/30/2024,20:29:58,295685,89,166.38,Lotek6M,Antenna 2,75,86
33,8/30/2024,20:29:58,505973,24,166.38,Lotek6M,Antenna 2,75,82
34,8/30/2024,20:30:01,395931,89,166.38,Lotek6M,Antenna 3,75,87
35,8/30/2024,20:30:04,496341,89,166.38,Lotek6M,Antenna 1,75,84
36,8/30/2024,20:30:05,908059,24,166.38,Lotek6M,Antenna 1,75,56
37,8/30/2024,20:30:07,596309,89,166.38,Lotek6M,Antenna 1,75,89
38,8/30/2024,20:30:19,997189,89,166.38,Lotek6M,Antenna 1,75,89
39,8/30/2024,20:30:29,297621,89,166.38,Lotek6M,Antenna 1,75,91
40,8/30/2024,20:30:31,813259,24,166.38,Lotek6M,Antenna 1,75,49
41,8/30/2024,20:30:32,398016,89,166.38,Lotek6M,Antenna 1,75,91
42,8/30/2024,20:30:41,698555,89,166.38,Lotek6M,Antenna 1,75,91
43,8/30/2024,20:30:42,915157,24,166.38,Lotek6M,Antenna 1,75,68
44,8/30/2024,20:30:44,798784,89,166.38,Lotek6M,Antenna 1,75,92
45,8/30/2024,20:30:57,200411,89,166.38,Lotek6M,Antenna 1,75,71
46,8/30/2024,20:31:09,600821,89,166.38,Lotek6M,Antenna 1,75,86
47,8/30/2024,20:31:22,1744,89,166.38,Lotek6M,Antenna 1,75,82
48,8/30/2024,20:31:34,402736,89,166.38,Lotek6M,Antenna 1,75,78
49,8/30/2024,20:33:41,510944,89,166.38,Lotek6M,Antenna 1,75,86
50,8/30/2024,20:33:50,811995,89,166.38,Lotek6M,Antenna 1,75,85
51,8/30/2024,20:33:53,912219,89,166.38,Lotek6M,Antenna 1,75,85
52,8/30/2024,20:34:06,312843,89,166.38,Lotek6M,Antenna 1,75,91
53,8/30/2024,20:34:18,714048,89,166.38,Lotek6M,Antenna 1,75,83
54,8/30/2024,20:37:04,91883,24,166.38,Lotek6M,Antenna 1,75,76
55,8/30/2024,20:37:15,193792,24,166.38,Lotek6M,Antenna 1,75,88
56,8/30/2024,20:38:05,29691,89,166.38,Lotek6M,Antenna 1,75,82
57,8/30/2024,20:38:17,430448,89,166.38,Lotek6M,Antenna 1,75,86
